ID,name,organization,services,phones,address,accessibility_for_disabilities
rec6rmcoi4nS62zcO,,All Souls Unitarian Church,"rec9JjLuHGRk0Yhxb,recdLNXymWrpfAt7R",(212) 535-5530,recnfJek82cLizKZr,
recvwFXX2sXXFiUBh,,American Barber Institute,recfgPSxeNyCb2jQ7,,recyDZI2EPXox5s3R,
recIKPCtvEqVyzbX0,,Ephesus Seventh-Day Adventist Church,recPpJf2oxmURWd9k,(212) 662-5536,rec3nHjngPKCz99Wo,Not wheelchair accessible
recYtN4Io4lL5gCkO,,Holy Trinity Catholic Church,"rectEdqdmYJL9qDSG,recukn8NP4s4Tg2qL",(212) 787-0634,recXVuDSeYPBSFafm,Accessible sidewalk
recM6imMRRIHhOL6R,,Manor Community Church,"recieacG6ODwFJMFZ,recWceYnBVuDQPoJ3,rec8RwvooIHDHZX76",(646) 369-3795,rec5AtDHXIFb7S1bR,Sidewalk service available
recroG8ogZoxpzaGo,,Missionaries of Charity,rec54XuiUj8PG4UfO,(718) 292-0019,rectKtDOyx5DxpnWy,Not wheelchair accessible
recx6dxIW7fajJ4W0,,National Council of Jewish Women (NCJW),"recSbchpRz7bTeZnp,recKYIOEPuqpD4hE1,recIqVWDqZfokwENH",(212) 687-5030,recMUWpsnvbAGPWI9,
recoyKfe64K15Ri43,,NY Common Pantry,"recE0snL1NiAflNHC,rec0cRmQ09eN2ldRG,recGk9d7TwUjopD1J,recvMyjZuzLpthO3d,recl1zxRCYePkojVB,recgRu0lULXopKpbg,recRoIFoKjV5WKqoj,recuiTCuAzgoV83KI,recw1ws7xTVpKJQpg",(917) 720-9715,recw9yg4goRKh4O7P,Accessible
recIptA0rGHybbjBr,,Open Door Family Life Center,"rece06nTrTonfm0b1,recMRF6wg9Jqvu0jb,recw0V7nYxr2vZmV7",(718) 455-3545,rec2Yk5l4RCAqU0xB,Accessible
recVYfhnHMw8E9JrL,,Our Lady Of Good Counsel,recMMD8shdqDdMQLR,(212) 289-1742,recAZAwnADvigdk6w,Accessible
recCkQ0AUnjy8d88o,,Rainbow Heights Club,recEgWS3jrX8FCdGG,(718) 852-2584,recdS8pWzNQ4lu9LT,Accessible
recm2WS38Y0dawyt8,,Saint Ignatius of Antioch Episcopal Church,"recIY5V2qSZnTzI9W,recegsDzcR0xScIvV",(212) 580-3326,rec8alUM5GCtpjZQD,
recqh2aNb58cxi0NT,,Services for the Underserved (S:US),,,rec7d6MRHzUeQUeQu,
recAAM3a6vrvCi6jT,,South Asian Council for Social Services (SACSS),rec4ZoIBhNleT3L2G,(718) 321-7929,recadPMFRVPIYO0Tb,Accessible
