name,description,email,url,phones,locations,program
Catholic Worker,"Providing hospitality, food, clothing, personal care and referral programs. Separate locations for Men's and Women's services.",,https://www.catholicworker.org/communities/houses/ny-new-york-catholic-worker.html,(212) 777-9617,"recUTiDcGzolOkyAJ,recqilX4P16x2hoSX",
The Bowery Mission,Serving homeless and hungry New Yorkers since 1879,,https://www.bowery.org/,"(212) 674-3456,(646) 798-5410,(917) 746-6313","reckuFvar3hEeOngF,rec3hjFAAdMkNLDit,recQVqA5zTDCkLMgD",
NYC Rescue Mission,"Meals, shelter, and services for the homeless and hungry. Also known as The Bowery Mission Tribeca Campus.",info@nycrescue.org,https://www.bowery.org/get-help/,(212) 226-6214,rec3hjFAAdMkNLDit,
Graffiti Church,Serving in the Lower East Side of New York City through Sunday services and weekday programs including food and clothing once a week,info@graffitichurch.org,https://graffitichurch.org/,(212) 473-0044,"recEUy30BC9tDITz3,recvCp1ArOjkqkD9J",
NY Common Pantry,"Food pantry, breakfast and dinner. Supplemental food to seniors aged 60 and older. Case management services. Nutrition and active living educational classes.",,http://nycommonpantry.org/,"(917) 720-9700,(917) 423-2702,(917) 423-2701,(917) 720-9715","recoyKfe64K15Ri43,recgqNva4ggxtHD9J","Project Dignity at NY Common Pantry,NY Common Pantry Hot Meals ,NY Common Pantry Help 365,NY Common Pantry Choice Pantry"
Rauchenbusch Metro Ministries,"In collaboration with Metro Baptist Church and a network of partners, Rauschenbusch Metro Ministries provides direct and educational services that promote individual and community growth, including Food pantry, toiletries, and social services.",rmm@rmmnyc.org,http://rmmnyc.org/home,(212) 594-4464,recd2YCN3sih3eR0O,
Urban Outreach Center,"Providing the basics like food, clothing, and hygiene kits. Further services include referrals for job training, medical care, housing, and multiple 12-Step groups and workshops on health, financial wellness, and job skills.",info@uocnyc.org,https://www.uocnyc.org/programs,(212) 288-6743,"recaSwjRw0tuZm182,rec0jo2Y61YT0fpy5,recx30svITWYC01my",Drop-in
Holy Apostles Soup Kitchen,"Largest free lunch service in NYC. Also provides referral services, clothing and toiletries at select times.",,https://holyapostlessoupkitchen.org/,(212) 924-0167,"recsn1jnHZxrmiUC4,reczu8Y9xgkIVBcyZ",
Grand Central Station Social Services Corp.,"Through the Mainchance Drop-In Center, GCSSC offer basic necessities (food, clothing, showers, and chairs for respite) and a range of social services including employment counseling, treatment referrals, and housing assistance.",,http://www.grandcentralneighborhood.org/services/mainchance-drop-in-center/,(212) 972-4613,recGQTSRE1KF9egNU,
Xavier Mission,"Xavier Mission is a multi-service community outreach organization housed at the Church of St. Francis Xavier. Programs include: Clothing Room; Monthly Sunday Lunch; Food Pantry; Financial Assistance; Life Skills Classes, Men's Overnight Shelter (Referrals only – no walk-ins)",info@xaviermission.org,https://xaviermission.org/programs/,(212) 627-2100,"rec1i8Kdcc0D0amvG,recSrRggjPGzzQcbq",
