id,services,locations,weekday,opens_at,closes_at
4,"recO1EPCyPYRWsjG2,recMvfC4xVvuKP1sy,rec0bBRSHnNveqaEX",,"2,4",12:00,14:00
5,recl0R2gjw8kt5VZw,,"2,3,4,5",12:00,14:00
6,"rec3RHchOMG2pw4Cr,reczsMFJybdR1CzRm",,"2,5",09:00,11:00
7,recQxUYOaOpQ1jdBg,,"2,3,4,5",10:30,12:00
8,recD9W1M3e6ToBAgX,,"1,2,3,4,5",14:00,16:00
9,rec3RHchOMG2pw4Cr,,1,11:00,14:00
10,"recpFRnBAoT7YwhED,recMSC5OqIx9JHE2T",,"1,2,3,4,5,6,7",07:00,09:00
11,recJYNtgJ8ys910oc,rec3hjFAAdMkNLDit,2,11:00,13:00
12,"recDo53AV3Dferf1x,recpFRnBAoT7YwhED",,"1,2,3,4,5,6,7",13:00,15:00
13,"recILfRPcjqWwh5o6,recpFRnBAoT7YwhED",,"1,2,3,4,5,6,7",18:00,20:00
14,recuvUrQsTMC645fn,rec3hjFAAdMkNLDit,"1,2,3,4,5,6,7",08:00,08:30
15,recCMBIMJwv6zqeAD,rec3hjFAAdMkNLDit,"1,2,3,4,5,6,7",18:00,19:00
16,recIuBFIb4CjqFnng,rec3hjFAAdMkNLDit,6,10:00,11:00
17,rec6j9Hp01QQ6mepY,,3,18:00,19:00
18,recbMzQqyfyDNfYvk,,4,10:00,11:00
19,recl1zxRCYePkojVB,recoyKfe64K15Ri43,"1,2,3,4,5,6",09.00,18.00
20,"recV3dbhCQxfym8uw,recgRu0lULXopKpbg",,"1,2",08:00,09:30
21,"recV3dbhCQxfym8uw,recgRu0lULXopKpbg",,"3,4,5",08:00,09:15
22,recx4IFcHKFeMGT3R,,"1,2,3,4,5,6,7",00.01,00.00
23,recw1ws7xTVpKJQpg,recoyKfe64K15Ri43,"1,3,5",16:30,18:00
24,recE0snL1NiAflNHC,recoyKfe64K15Ri43,"1,2,3,4,5",08:30,13:00
25,rec0cRmQ09eN2ldRG,,"1,2,3",09:00,13:00
26,recPd7jk5KGLNyWLf,,"6,7",16:00,17:00
