ID,name,phones,locations,description,taxonomy,taxonomy_specific_attributes,program,email,holiday_schedule,regular_schedule,service_area,eligibility,languages,required_documents,recertification_time,grace_period
recGwouSJPSfDAvgx,A Taste of Heaven,,recatzI38dUyS9TwD,Serving hot food weekly to the community in The Chapel and Parlor. All are welcome. No questions asked.,Soup Kitchen,,,,,145,,Everyone,,,,
rech0aaDF5tkrwuWl,Al-anon,,rec0NYGOMsh9HA2EN,"A support group for families and friends of problem drinkers. Meets in the Reception Room. Walk-in basis. There is no membership list, and Al-anon does not take attendance. Attend as frequently or infrequently as you choose. No requirement to use your name.",Health,,Twelve-step programs,,,"83,84",,Everyone,,,,
reco4J5VfVzr4OUMO,Alateen,,rec0NYGOMsh9HA2EN,"Alateen is a fellowship of young Al-Anon members, usually teenagers, whose lives have been affected by someone else’s drinking. Sponsored by Al-Anon members who help the group to stay on track. Meet in the Gray Lounge. Anonymity protected.",Health,,Twelve-step programs,,,85,,Teens,,,,
recPmYkddvLjgze8M,Alcoholics Anonymous,,recatzI38dUyS9TwD,"Alcoholics Anonymous is a fellowship of people who help each other recover from alcoholism.  Anyone in need is welcome. Tuesday meeting in the Chapel Annex and The Parlor, Wednesday meeting in The Chapel",Health,,,,,"146,147,148",,Everyone,,,,
recEgOMee6XUHnffT,Alcoholics Anonymous (AA),,rec0NYGOMsh9HA2EN,AA meets in the Reception Room. No age or education requirements. Open to anyone who wants to do something about his or her drinking problem. No names or attendance taken.,Health,,Twelve-step programs,,,82,,Everyone,,,,
recAiy9b6VvbLXQt2,All Saints Clothing Room,,recSrRggjPGzzQcbq,"Second and Fourth Sunday of the month only. Offering seasonally appropriate, casual clothing items as well as business wear for job interviews and employment. Mostly Men's Clothing. Items not guaranteed in stock. All guests on line by 10am will be admitted. Travel size toiletries dispensed if available.",Clothing pantry,,,,,42,,"Everyone,Men",Spanish,,,
recz94iSaRtzk7mf3,Backpack Pantry Program,(646) 998-6118,recsn1jnHZxrmiUC4,"Free non-perishable groceries for the weekend, provided to P.S. 33 children of families in homeless shelter. Call ahead to confirm availability or wait list.",Pantry,,,,,36,"""10001,10010,10011,10014,10018,10019,10020,10036""",Everyone,,"Photo ID,Proof of Address",,
recuvUrQsTMC645fn,Breakfast,,rec3hjFAAdMkNLDit,Free hot breakfast for anyone,Soup Kitchen,,,,,14,,Everyone,,,,
recV3dbhCQxfym8uw,Breakfast,,recgqNva4ggxtHD9J,Hot meal served in the downstains cafeteria,Soup Kitchen,,,,,"20,21",,,,,,
reckfCypX6WLPxhiQ,Breakfast,,recGQTSRE1KF9egNU,Free breakfast for people who are homeless,Soup Kitchen,,,,,39,,,Spanish,,,
recMSC5OqIx9JHE2T,Breakfast,,reckuFvar3hEeOngF,Free breakfast,Soup Kitchen,,,,,10,,,,,,
recgRu0lULXopKpbg,Breakfast,(917) 720-9700,recoyKfe64K15Ri43,Hot breakfast served Mon through Fri. Everyone is welcome.,Soup Kitchen,,NY Common Pantry Hot Meals ,,,"20,21",,Everyone,"Spanish,Chinese",,,
recK24yOKshALHcGs,Breakfast,,recq3G9kKw4rcOYZe,Free breakfast for clients who have gone through intake,Soup Kitchen,,,,,75,,Client of the organization,Spanish,,,
